r0,welfare_efficiency
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06537826161156801
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06971388024109355
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07670738794865314
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.09036818648847345
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.1311089108526063
50.0,0.9799999999999998
50.0,0.6615146524777453
50.0,1.0
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.0675572485394852
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07215481172439062
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07959684156473495
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.09408521921583042
50.0,0.9799999999999998
50.0,0.1361759053331829
50.0,1.0
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06939751971667098
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07420542466872661
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.082001969424243
50.0,0.9799999999999998
50.0,0.09679800601748545
50.0,1.0
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07090005893809109
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07587029299360815
50.0,0.9799999999999998
50.0,0.08368131099099546
50.0,1.0
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.0720658091241079
50.0,0.9799999999999998
50.0,0.07693906743340787
50.0,1.0
50.0,0.9799999999999998
50.0,0.07270371876406487
50.0,1.0
50.0,1.0
50.0,0.8799999999999989
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06687782921992085
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07331906337393412
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.08593565243445098
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.12419780238092583
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.654021085759264
50.0,0.9799999999999998
50.0,0.9930492782592774
50.0,1.0
50.0,0.8999999999999991
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.06971388024109355
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07670738794865314
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.09036818648847345
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.1311089108526063
50.0,0.9799999999999998
50.0,0.660900355966056
50.0,1.0
50.0,0.9199999999999993
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07215481172439062
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07959684156473495
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.09408521921583042
50.0,0.9799999999999998
50.0,0.13565389540794398
50.0,1.0
50.0,0.9399999999999994
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07420542466872661
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.082001969424243
50.0,0.9799999999999998
50.0,0.09646238227625167
50.0,1.0
50.0,0.9599999999999996
50.0,0.9799999999999998
50.0,0.07587029299360815
50.0,0.9799999999999998
50.0,0.0834234564400263
50.0,1.0
50.0,0.9799999999999998
