m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,g2_cooperative,g2_conditional_cooperator,g2_compensating_cooperator,g2_selfish,g2_sanctioning,g3_cooperative,g3_conditional_cooperator,g3_compensating_cooperator,g3_selfish,g3_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
4,0,2,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3,1,0,0,0.054840396813287284,True
4,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,2,1,0.01910948055289812,True
4,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,1,1,2,0,0,0.14676443854343146,True
4,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0.1965307920470541,True
4,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,2,1,0,0.054975580722962124,True
4,0,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,2,2,0,0,0.06521597222222222,True
4,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,1,0,1,0.05366717140157759,True
4,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0.07451542656193272,True
4,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,1,2,1,0,0.025695225464261496,True
4,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,-0.032207566761298184,True
4,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,1,0,2,1,1,0,0.024597562664938687,True
4,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,3,0.06760056426778137,True
4,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,2,1,1,0,0,0.05701089975020052,True
4,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,3,0,1,0,0,0.04813027761087222,True
4,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,1,0.026027713442426728,True
4,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,1,1,0.20302004418600625,True
4,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,2,1,0,0.09592476557341177,True
4,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,1,1,0.04848801510610684,True
4,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,3,0,0.055262900014522214,True
4,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,3,1,0.14302392905503294,True
