m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
2,0,2,0,1,1,4,0,0,0,0,1,1,2,0,0,0.9681447697675072,False
2,1,3,0,0,0,0,1,0,0,3,0,2,1,1,0,0.019727533430153946,True
2,0,2,0,2,0,0,0,3,1,0,1,1,0,0,2,0.03555152501320572,True
2,1,0,1,2,0,0,1,2,0,1,0,0,0,1,3,0.04848801510610684,True
2,1,2,0,0,1,1,0,1,1,1,0,0,0,1,3,0.8988836677372884,False
2,1,1,1,1,0,0,2,0,2,0,2,0,1,0,1,0.05316005389067188,True
2,0,2,1,0,1,0,0,1,3,0,1,0,0,0,3,0.006932218827686775,True
2,1,1,0,2,0,0,0,1,0,3,0,0,1,3,0,0.014963327954978274,True
2,0,2,0,2,0,1,2,0,1,0,1,0,0,3,0,0.06521597222222222,True
2,2,1,1,0,0,0,0,3,1,0,3,1,0,0,0,0.17512679151922747,True
2,0,1,1,2,0,0,3,0,1,0,0,0,3,0,1,0.0501406752357516,True
2,1,0,1,2,0,1,1,1,1,0,0,1,0,2,1,0.055861813913718465,True
2,1,0,2,0,1,0,1,2,0,1,1,0,1,1,1,0.93715138397386,False
2,2,1,0,0,1,0,0,1,3,0,1,0,2,0,1,0.0559278240734585,True
2,0,0,0,2,2,2,0,0,2,0,1,1,1,0,1,0.04800317112610415,True
2,3,0,0,0,1,0,2,1,1,0,2,2,0,0,0,0.07017128330209692,True
2,0,0,0,1,3,0,2,1,1,0,0,0,0,2,2,-0.008561499584804937,True
2,0,1,0,0,3,1,0,1,0,2,0,2,2,0,0,0.8787542758492419,False
2,1,3,0,0,0,0,3,0,0,1,0,0,2,1,1,0.04898619364521637,True
2,0,0,1,2,1,0,1,0,2,1,1,1,0,2,0,0.054923126386728964,True
2,2,1,1,0,0,1,0,0,2,1,0,2,0,0,2,0.15850756063620466,True
2,0,1,1,0,2,1,1,1,0,1,0,2,0,1,1,0.9186355271859712,False
2,0,0,0,4,0,0,2,2,0,0,2,0,0,1,1,0.04953539977355211,True
2,1,0,2,0,1,0,1,0,2,1,1,0,0,0,3,0.8991245997818337,False
2,1,0,1,1,1,0,0,1,0,3,3,0,0,1,0,0.9116232389805117,False
2,1,2,1,0,0,1,0,0,1,2,0,0,0,3,1,0.04715289495547381,True
2,0,2,1,1,0,1,0,2,0,1,1,0,2,1,0,0.0805252339036597,True
2,0,3,0,0,1,0,2,0,1,1,4,0,0,0,0,0.9535568008150984,False
2,0,0,1,1,2,0,3,0,0,1,0,2,1,0,1,0.9165907714979574,False
2,1,1,1,0,1,3,0,0,1,0,1,0,1,2,0,0.11168657426512907,True
2,0,1,2,1,0,2,0,0,1,1,0,0,0,0,4,0.09846071147341413,True
2,0,0,1,3,0,2,1,0,1,0,0,0,1,3,0,0.06407728593984857,True
2,0,1,3,0,0,0,0,1,1,2,0,1,0,3,0,0.04931339557064358,True
2,0,2,0,1,1,0,1,0,1,2,0,0,2,2,0,0.054480381476643254,True
2,0,1,2,0,1,0,2,0,1,1,0,2,2,0,0,0.11036333222033777,True
2,2,2,0,0,0,0,0,2,1,1,1,3,0,0,0,0.06892462555607112,True
2,2,0,1,1,0,1,0,1,0,2,0,1,1,2,0,0.08520308237749318,True
2,0,2,0,0,2,0,3,0,0,1,1,3,0,0,0,0.03935133292096206,True
2,0,1,2,0,1,0,3,0,0,1,1,0,0,3,0,0.05682274633469679,True
2,1,0,0,1,2,2,0,0,2,0,0,2,0,0,2,0.029058742924351136,True
2,0,4,0,0,0,2,1,0,0,1,0,0,2,1,1,0.04509663782376818,True
2,1,1,0,1,1,1,1,2,0,0,1,1,1,0,1,0.8411008235084162,False
2,0,1,1,2,0,2,0,2,0,0,2,0,0,1,1,0.08417404659355189,True
2,1,3,0,0,0,2,2,0,0,0,2,0,0,0,2,0.041955819093703786,True
2,0,1,1,0,2,2,1,0,0,1,0,0,0,2,2,0.8983008844524351,False
