m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
1,1,2,2,0,3,0,0,0,2,2,0.8985292090050164,False
1,3,0,2,3,0,4,0,0,0,0,0.11989855995460699,True
1,0,0,3,2,3,1,0,3,0,0,0.9367155848008308,False
1,0,3,0,5,0,0,0,1,3,0,0.06113263888888888,True
1,3,1,2,0,2,0,0,1,0,3,0.8983236709339609,False
1,3,0,3,2,0,0,0,0,3,1,0.08844819502148887,True
1,6,1,0,0,1,0,3,0,0,1,0.9539854449311841,False
1,0,2,3,3,0,0,0,0,2,2,0.03334755828869989,True
1,2,1,0,5,0,0,1,1,0,2,0.027184866912815298,True
1,0,3,2,2,1,0,1,0,1,2,0.9321785723822433,False
1,1,2,2,2,1,0,0,4,0,0,0.9778123222159892,False
1,2,0,0,3,3,0,2,0,2,0,0.034993927034597506,True
1,1,2,1,3,1,0,3,0,1,0,0.06814913754653786,True
1,3,1,0,2,2,1,1,0,2,0,0.07326131455781629,True
1,0,2,0,4,2,0,0,4,0,0,0.9583507245849714,False
1,3,1,1,3,0,0,1,1,1,1,0.05854249533113952,True
1,7,1,0,0,0,1,0,1,0,2,0.9491809881207685,False
1,0,1,1,2,4,0,0,0,3,1,0.8931790990934707,False
1,5,1,2,0,0,1,0,1,0,2,0.9523778714777428,False
1,2,0,1,2,3,1,1,1,0,1,0.9192912913954003,False
1,1,1,0,2,4,0,2,0,0,2,0.8751762672673059,False
1,0,0,5,3,0,0,3,0,0,1,0.0632297804950788,True
1,0,1,0,7,0,1,0,0,3,0,0.06,True
1,4,0,2,1,1,0,1,0,0,3,0.9193094563405405,False
1,3,2,0,2,1,0,0,1,0,3,0.9189948241282667,False
1,1,0,1,4,2,3,1,0,0,0,0.9524006573948627,False
1,1,1,3,0,3,1,1,0,2,0,0.13395091110770393,True
1,0,0,5,0,3,2,2,0,0,0,0.9265231225310995,False
1,2,1,4,0,1,1,0,2,1,0,0.9731531220504648,False
1,0,0,0,6,2,1,2,1,0,0,0.07206433272365141,True
1,3,4,0,0,1,2,1,0,1,0,0.12130319709989634,True
1,0,1,1,1,5,2,0,0,0,2,0.8595927543275632,False
1,7,0,0,1,0,1,1,0,1,1,0.9598086709608257,False
1,2,1,2,1,2,2,0,1,0,1,0.9386666794211123,False
1,2,4,1,0,1,0,1,1,0,2,0.9394386893236987,False
1,1,1,3,3,0,0,1,2,0,1,0.06231641811097015,True
1,3,0,1,0,4,3,0,0,1,0,0.9132880876326012,False
1,8,0,0,0,0,0,4,0,0,0,0.17186175057410355,True
1,2,1,0,2,3,3,1,0,0,0,0.922721631072983,False
1,3,1,1,1,2,2,1,0,0,1,0.9395500545477631,False
1,1,2,1,3,1,2,0,0,0,2,0.9386060797606006,False
1,3,4,0,1,0,0,4,0,0,0,0.07049403650238288,True
1,1,0,0,0,7,0,3,0,0,1,0.8371438190861513,False
1,4,0,0,0,4,0,0,2,2,0,0.8987035354263883,False
1,0,4,3,0,1,2,0,0,2,0,0.11484844757850274,True
